chr22	15513541
chr22	15934599
chr22	16022568
chr22	16022856
chr22	16022940
chr22	16029176
chr22	16029395
chr22	16030429
chr22	16031207
chr22	16032133
chr22	16034265
chr22	16034378
chr22	16034728
chr22	16035728
chr22	16035885
chr22	16036170
chr22	16038281
chr22	16039180
chr22	16039955
chr22	16040884
chr22	16042446
chr22	16042847
chr22	16042892
chr22	16044539
chr22	16046106
chr22	16046985
chr22	16047938
chr22	16048994
chr22	16051193
chr22	16054510
chr22	16058221
chr22	16064104
chr22	16064423
chr22	16065045
chr22	16065381
chr22	16066091
chr22	16066263
chr22	16072247
chr22	16072683
chr22	16074099
chr22	16074298
chr22	16075388
chr22	16077856
chr22	16078477
chr22	16079838
chr22	16079942
chr22	16084705
chr22	16090803
chr22	16093268
chr22	16093572
